t=0~9 s��ÿ 40 ms һ�У��߶�Ҫ�м���ĳ������Σ�ҡ���ǹ���������
   t     |a_lin|   |w|     e_ac   is_st  zupt tilt mag | v_nav(x,y,z)          |v|    sig_vel
 2.28    0.247     2.5    34.87    0     0    0   0  |  0.052  0.038  0.008   0.065   0.041
 2.32    0.284     4.9    57.54    0     0    0   0  |  0.052  0.036  0.009   0.064   0.045
 2.36    0.565    10.8    24.61    0     0    0   0  |  0.055  0.044  0.009   0.071   0.049
 2.40    0.183     4.6    24.27    0     0    1   0  |  0.060  0.008  0.009   0.061   0.054
 2.44    0.342     7.7    53.86    0     0    0   1  |  0.048 -0.000  0.010   0.049   0.059
 2.48    0.253    10.1    60.38    0     0    0   0  | -0.010  0.067  0.008   0.068   0.050
 2.52    0.328     7.2   123.57    0     0    0   0  |  0.031  0.069  0.010   0.076   0.053
 2.56    0.051     4.8    32.90    0     0    0   1  |  0.027  0.073  0.008   0.078   0.056
 2.60    0.089     6.8    21.25    0     0    0   1  |  0.020  0.078  0.009   0.081   0.059
 2.64    1.047    10.5   131.59    0     0    0   0  |  0.026  0.085  0.010   0.089   0.063
 2.68    0.340     2.6    19.68    0     0    1   1  | -0.024  0.054  0.010   0.059   0.067
 2.72    0.190     3.1    44.21    0     0    0   1  | -0.049  0.049  0.009   0.070   0.071
 2.76    0.773     9.2    26.61    0     0    0   1  | -0.058  0.051  0.010   0.077   0.075
 2.80    0.121     3.4    22.00    0     0    0   1  |  0.015  0.038  0.010   0.042   0.079
 2.84    0.152    10.6    64.16    0     0    0   1  |  0.019  0.039  0.010   0.045   0.084
 2.88    0.430     3.4    24.78    0     0    0   1  |  0.023  0.037  0.012   0.045   0.089
 2.92    0.257     9.2    37.10    0     0    0   1  |  0.046  0.045  0.011   0.066   0.095
 2.96    0.237     9.0    38.68    0     0    0   1  |  0.054  0.103  0.011   0.117   0.079
 3.00    0.281    12.6    67.14    0     0    0   1  |  0.093  0.115  0.012   0.148   0.081
 3.04    0.922     5.7    30.90    0     0    0   1  |  0.082  0.119  0.011   0.145   0.084
 3.08    0.235     7.4    31.07    0     0    0   1  |  0.098  0.128  0.011   0.161   0.087
 3.12    0.208     7.2    25.80    0     0    0   1  |  0.084  0.130  0.009   0.155   0.090
 3.16    0.073    14.5    91.82    0     0    0   1  |  0.105  0.134  0.011   0.171   0.093
 3.20    0.400     3.2    29.94    0     0    0   1  |  0.114  0.147  0.011   0.186   0.097
 3.24    0.164     5.8    26.68    0     0    0   1  |  0.087  0.147  0.011   0.171   0.100
 3.28    0.470     2.8    33.36    0     0    0   1  |  0.094  0.155  0.013   0.182   0.104
 3.32    0.169     4.2    41.73    0     0    0   1  |  0.112  0.163  0.012   0.198   0.109
 3.36    0.701     6.6    24.13    0     0    0   1  |  0.113  0.169  0.012   0.204   0.113
 3.40    0.178     8.5    27.77    0     0    0   1  |  0.107  0.174  0.011   0.205   0.118
 3.44    0.347     6.4    44.88    0     0    0   1  |  0.110  0.178  0.011   0.210   0.122
 3.48    0.150     8.4    55.36    0     0    0   1  |  0.121  0.188  0.011   0.224   0.128
 3.52    0.142     2.6     9.99    0     0    0   1  | -0.008  0.246  0.009   0.246   0.133
 3.56    0.258     4.6    14.77    0     0    0   1  |  0.194  0.330  0.008   0.383   0.111
 3.60    0.191     3.7    34.26    0     0    0   1  |  0.190  0.345  0.009   0.394   0.113
 3.64    1.168    11.9    58.43    0     0    0   1  |  0.200  0.361  0.008   0.413   0.115
 3.68    0.222     5.4    73.47    0     0    0   1  |  0.220  0.376  0.008   0.436   0.118
 3.72    0.635     4.9    43.72    0     0    0   1  |  0.252  0.318  0.009   0.406   0.113
 3.76    0.144     6.1    50.42    0     0    0   1  |  0.263  0.323  0.010   0.417   0.114
 3.80    0.949    15.0   147.96    0     0    0   1  |  0.275  0.329  0.010   0.429   0.116
 3.84    0.258     6.3    38.50    0     0    0   1  |  0.309  0.339  0.009   0.459   0.118
 3.88    0.200     5.7    64.14    0     0    0   1  |  0.292  0.346  0.008   0.453   0.120
 3.92    0.117     7.3    93.94    0     0    0   1  |  0.294  0.343  0.010   0.452   0.122
 3.96    0.014     0.8    71.74    0     0    0   1  |  0.367  0.318  0.010   0.486   0.118
 4.00    0.007     0.6     0.09    0     0    1   1  |  0.236  0.298  0.012   0.380   0.115
 4.04    0.005     0.1     0.06    0     0    1   1  |  0.228  0.298  0.012   0.376   0.115
 4.08    0.002     0.8     0.63    0     0    1   1  |  0.224  0.300  0.013   0.375   0.116
 4.12    0.004     0.3     0.06    0     0    1   1  |  0.225  0.300  0.013   0.375   0.116
 4.16    0.003     0.4     0.07    0     0    1   1  |  0.225  0.300  0.013   0.375   0.116
 4.20    0.007     0.4     0.06    0     0    1   1  |  0.225  0.300  0.013   0.375   0.116
 4.24    0.006     0.1     0.06    0     0    1   1  |  0.225  0.300  0.014   0.376   0.117
 4.28    0.003     0.3     0.06    0     0    1   1  |  0.225  0.300  0.014   0.375   0.117
 4.32    0.004     0.3     0.06    1     1    1   1  |  0.173  0.230  0.015   0.288   0.103
 4.36    0.004     0.4     0.07    1     1    1   1  |  0.040  0.054  0.010   0.068   0.050
 4.40    0.006     1.0     0.09    0     0    1   1  |  0.036  0.048  0.010   0.061   0.048
 4.44    0.005     1.0     0.07    0     0    1   1  |  0.036  0.048  0.011   0.061   0.048
 4.48    0.002     1.1     0.07    0     0    1   1  |  0.036  0.048  0.011   0.062   0.049
 4.52    0.004     0.7     0.07    0     0    1   1  |  0.036  0.048  0.012   0.062   0.049
 4.56    0.005     0.4     0.07    0     0    1   1  |  0.036  0.048  0.012   0.061   0.049
 4.60    0.003     0.7     0.06    0     0    1   1  |  0.036  0.048  0.012   0.061   0.050
 4.64    0.004     0.2     0.06    0     0    1   1  |  0.036  0.048  0.013   0.061   0.050
 4.68    0.003     0.5     0.06    0     0    1   1  |  0.036  0.048  0.013   0.062   0.051
 4.72    0.006     1.6     0.10    0     0    1   1  |  0.036  0.048  0.014   0.061   0.051
 4.76    0.004     2.7     0.08    0     0    0   1  |  0.036  0.048  0.015   0.062   0.052
 4.80    0.011     2.0     0.21    0     0    0   1  |  0.035  0.048  0.015   0.062   0.052
 4.84    0.031     2.4     0.26    0     0    1   1  |  0.034  0.049  0.016   0.061   0.053
 4.88    0.010     2.5     0.47    0     0    1   1  |  0.030  0.049  0.016   0.060   0.053
 4.92    0.018     3.1     0.10    0     0    0   1  |  0.027  0.050  0.018   0.059   0.054
 4.96    0.085     6.5    28.86    0     0    0   1  |  0.024  0.050  0.019   0.058   0.054
 5.00    0.118     1.8    17.90    0     0    0   1  |  0.008  0.050  0.014   0.053   0.055
 5.04    0.067     5.6     9.89    0     0    0   1  |  0.004  0.050  0.014   0.052   0.055
 5.08    0.172     1.9     8.05    0     0    0   1  | -0.000  0.047  0.017   0.050   0.056
 5.12    0.322     3.4     7.41    0     0    0   1  | -0.014  0.055  0.017   0.059   0.056
 5.16    0.203     2.9     4.55    0     0    0   1  | -0.008  0.059  0.017   0.062   0.057
 5.20    0.323     4.3    16.17    0     0    0   1  | -0.000  0.063  0.021   0.066   0.058
 5.24    0.350     2.3    18.30    0     0    0   1  |  0.013  0.058  0.020   0.063   0.058
 5.28    0.088     1.4     4.68    0     0    0   1  |  0.004  0.058  0.018   0.061   0.059
 5.32    0.265     5.3     9.99    0     0    0   1  | -0.013  0.066  0.021   0.070   0.060
 5.36    0.129     1.6    11.22    0     0    0   1  | -0.020  0.067  0.018   0.072   0.061
 5.40    0.290     3.2     4.18    0     0    0   1  | -0.029  0.069  0.021   0.077   0.062
 5.44    0.101     2.8    10.03    0     0    0   1  | -0.028  0.071  0.018   0.079   0.063
 5.48    0.214     3.8     8.37    0     0    0   1  | -0.028  0.075  0.019   0.082   0.065
 5.52    0.109     0.8    11.01    0     0    0   1  | -0.026  0.079  0.020   0.085   0.067
 5.56    0.137     6.4    12.65    0     0    0   1  | -0.008  0.069  0.025   0.074   0.069
 5.60    0.549     2.7    20.12    0     0    0   1  | -0.006  0.070  0.023   0.074   0.072
 5.64    0.236     2.7    15.22    0     0    0   1  | -0.007  0.070  0.020   0.073   0.075
 5.68    0.341     4.4    25.70    0     0    0   1  |  0.000  0.072  0.025   0.076   0.078
 5.72    0.282     2.1    87.84    0     0    0   1  | -0.023  0.069  0.015   0.074   0.081
 5.76    0.369    11.7    48.37    0     0    0   1  | -0.011  0.070  0.020   0.074   0.085
 5.80    0.352    10.6    68.43    0     0    0   1  | -0.011  0.072  0.019   0.075   0.089
 5.84    0.219     9.8    20.73    0     0    0   1  | -0.003  0.073  0.024   0.077   0.094
 5.88    0.170     5.2    32.90    0     0    0   1  |  0.049 -0.006  0.027   0.057   0.083
 5.92    0.317     3.1    38.86    0     0    0   1  |  0.043 -0.016  0.026   0.052   0.085
 5.96    0.221     5.1    29.22    0     0    0   1  |  0.056 -0.022  0.024   0.065   0.087
 6.00    0.276     5.4    25.12    0     0    0   1  |  0.064 -0.029  0.023   0.074   0.090
 6.04    0.286     3.1    27.47    0     0    0   1  |  0.072 -0.036  0.025   0.084   0.093
 6.08    0.566     2.4    33.03    0     0    0   1  |  0.072 -0.044  0.019   0.087   0.096
 6.12    0.387     0.8    31.26    0     0    0   1  |  0.079 -0.052  0.019   0.097   0.099
 6.16    0.274     5.1    30.61    0     0    0   1  |  0.092 -0.058  0.023   0.112   0.102
 6.20    0.125     7.9    29.37    0     0    0   1  |  0.093 -0.066  0.026   0.117   0.106
 6.24    0.202     1.7     5.81    0     0    1   1  |  0.097  0.010  0.024   0.100   0.097
 6.28    0.198     6.8    13.29    0     0    0   1  |  0.100  0.011  0.024   0.104   0.099
 6.32    0.255     3.1    11.40    0     0    0   1  |  0.079 -0.008  0.027   0.084   0.097
 6.36    0.458     2.4    18.66    0     0    0   1  |  0.084 -0.008  0.028   0.089   0.099
 6.40    0.107     5.0    16.11    0     0    0   0  |  0.080 -0.010  0.021   0.083   0.100
 6.44    0.202     5.2    21.15    0     0    0   1  |  0.093 -0.009  0.023   0.096   0.102
 6.48    0.339    13.8    91.69    0     0    0   0  |  0.108 -0.006  0.035   0.113   0.104
 6.52    0.345     7.2    47.71    0     0    0   0  |  0.097 -0.009  0.019   0.099   0.105
 6.56    0.136     7.7    19.42    0     0    0   1  |  0.101 -0.010  0.022   0.104   0.108
 6.60    0.244     8.3    42.57    0     0    0   0  |  0.008  0.004  0.019   0.021   0.105
 6.64    0.226     4.2    50.40    0     0    0   0  |  0.010  0.008  0.022   0.025   0.106
 6.68    0.633     5.3    23.52    0     0    0   0  |  0.006  0.010  0.026   0.028   0.108
 6.72    0.151     7.8    16.76    0     0    0   0  |  0.003  0.013  0.027   0.030   0.109
 6.76    0.152     3.4    57.69    0     0    0   0  | -0.006  0.015  0.022   0.027   0.111
 6.80    0.220     5.8    39.10    0     0    0   0  | -0.007  0.018  0.025   0.032   0.113
 6.84    0.050     2.5    13.98    0     0    0   0  | -0.000  0.025  0.026   0.036   0.116
 6.88    0.192     4.4    20.53    0     0    0   0  |  0.001  0.029  0.027   0.040   0.118
 6.92    0.179    11.9    20.80    0     0    0   0  | -0.009  0.030  0.022   0.038   0.121
 6.96    0.018     0.8     0.43    0     0    1   0  |  0.036  0.008  0.027   0.046   0.111
 7.00    0.011     0.8     0.07    0     0    1   0  |  0.048  0.008  0.027   0.056   0.111
 7.04    0.021     0.8     0.11    0     0    1   0  |  0.052  0.008  0.027   0.059   0.111
 7.08    0.020     0.9     1.32    0     0    1   0  |  0.053  0.009  0.025   0.059   0.112
 7.12    0.086     0.8     4.25    0     0    0   0  |  0.052  0.009  0.026   0.059   0.112
 7.16    0.025     3.5     0.63    0     0    0   0  |  0.052  0.009  0.027   0.059   0.112
 7.20    0.008     1.2     2.12    0     0    1   0  |  0.053  0.008  0.028   0.060   0.112
 7.24    0.030     2.0     0.62    0     0    1   0  |  0.052  0.009  0.027   0.059   0.113
 7.28    0.007     4.5     4.27    0     0    0   0  |  0.053  0.008  0.025   0.059   0.113
 7.32    0.003     1.4     0.67    0     0    1   0  |  0.052  0.009  0.026   0.059   0.113
 7.36    0.005     1.2     0.11    0     0    1   0  |  0.053  0.008  0.027   0.060   0.114
 7.40    0.006     0.5     0.07    0     0    1   0  |  0.054  0.009  0.027   0.060   0.114
 7.44    0.216     2.9     0.27    0     0    1   0  |  0.053  0.009  0.027   0.060   0.114
 7.48    0.499     1.9    15.87    0     0    0   0  |  0.053  0.007  0.026   0.060   0.114
 7.52    0.002     0.1     0.06    0     0    1   0  |  0.053  0.007  0.027   0.060   0.115
 7.56    0.002     0.1     0.07    0     0    1   0  |  0.053  0.007  0.027   0.060   0.115
 7.60    0.005     1.1     0.12    0     0    1   0  |  0.052  0.007  0.028   0.060   0.115
 7.64    0.005     0.5     0.11    0     0    1   0  |  0.053  0.007  0.028   0.060   0.116
 7.68    0.004     0.7     0.06    0     0    1   0  |  0.052  0.007  0.027   0.060   0.116
 7.72    0.005     1.3     0.09    0     0    1   0  |  0.052  0.007  0.027   0.059   0.116
 7.76    0.006     2.0     0.10    0     0    1   0  |  0.052  0.007  0.027   0.059   0.116
 7.80    0.006     0.5     0.07    0     0    1   0  |  0.052  0.007  0.027   0.060   0.117
 7.84    0.002     0.4     0.09    0     0    1   0  |  0.052  0.008  0.028   0.060   0.117
